Java HotSpot(TM) 64-Bit Server VM (25.91-b15) for windows-amd64 JRE (1.8.0_91-b15), built on May 20 2016 17:43:15 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16718916k(8658072k free), swap 16718916k(6625284k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-10-27T23:16:46.100+0800: 0.151: [GC (Allocation Failure) [PSYoungGen: 65499K->10750K(76288K)] 65499K->19831K(251392K), 0.0039054 secs] [Times: user=0.05 sys=0.08, real=0.02 secs] 
2020-10-27T23:16:46.136+0800: 0.187: [GC (Allocation Failure) [PSYoungGen: 76067K->10744K(76288K)] 85148K->43070K(251392K), 0.0059020 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T23:16:46.155+0800: 0.207: [GC (Allocation Failure) [PSYoungGen: 75769K->10749K(76288K)] 108095K->63289K(251392K), 0.0055633 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T23:16:46.175+0800: 0.226: [GC (Allocation Failure) [PSYoungGen: 76285K->10751K(76288K)] 128825K->81798K(251392K), 0.0050110 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T23:16:46.191+0800: 0.242: [GC (Allocation Failure) [PSYoungGen: 76148K->10750K(76288K)] 147194K->103620K(251392K), 0.0050242 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T23:16:46.204+0800: 0.255: [GC (Allocation Failure) [PSYoungGen: 76286K->10741K(40448K)] 169156K->126237K(215552K), 0.0052369 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T23:16:46.214+0800: 0.265: [GC (Allocation Failure) [PSYoungGen: 40387K->19370K(58368K)] 155883K->138171K(233472K), 0.0032982 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T23:16:46.222+0800: 0.273: [GC (Allocation Failure) [PSYoungGen: 48879K->25817K(58368K)] 167679K->147419K(233472K), 0.0038609 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T23:16:46.230+0800: 0.281: [GC (Allocation Failure) [PSYoungGen: 55487K->28655K(58368K)] 177089K->158878K(233472K), 0.0051846 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T23:16:46.239+0800: 0.290: [GC (Allocation Failure) [PSYoungGen: 57964K->17468K(58368K)] 188187K->164878K(233472K), 0.0050230 secs] [Times: user=0.08 sys=0.05, real=0.00 secs] 
2020-10-27T23:16:46.244+0800: 0.295: [Full GC (Ergonomics) [PSYoungGen: 17468K->0K(58368K)] [ParOldGen: 147409K->139428K(175104K)] 164878K->139428K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0200258 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-27T23:16:46.268+0800: 0.319: [GC (Allocation Failure) [PSYoungGen: 29696K->10404K(58368K)] 169124K->149833K(233472K), 0.0017464 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T23:16:46.273+0800: 0.324: [GC (Allocation Failure) [PSYoungGen: 39912K->11532K(58368K)] 179341K->160789K(233472K), 0.0032343 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
2020-10-27T23:16:46.277+0800: 0.328: [Full GC (Ergonomics) [PSYoungGen: 11532K->0K(58368K)] [ParOldGen: 149257K->154687K(175104K)] 160789K->154687K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0177434 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-27T23:16:46.298+0800: 0.349: [Full GC (Ergonomics) [PSYoungGen: 29696K->0K(58368K)] [ParOldGen: 154687K->160307K(175104K)] 184383K->160307K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0203984 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-27T23:16:46.323+0800: 0.374: [Full GC (Ergonomics) [PSYoungGen: 29696K->0K(58368K)] [ParOldGen: 160307K->166309K(175104K)] 190003K->166309K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0205306 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-10-27T23:16:46.347+0800: 0.399: [Full GC (Ergonomics) [PSYoungGen: 29204K->0K(58368K)] [ParOldGen: 166309K->173413K(175104K)] 195514K->173413K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0168348 secs] [Times: user=0.09 sys=0.02, real=0.02 secs] 
2020-10-27T23:16:46.368+0800: 0.419: [Full GC (Ergonomics) [PSYoungGen: 29003K->6697K(58368K)] [ParOldGen: 173413K->174735K(175104K)] 202416K->181432K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0211014 secs] [Times: user=0.13 sys=0.01, real=0.02 secs] 
2020-10-27T23:16:46.392+0800: 0.443: [Full GC (Ergonomics) [PSYoungGen: 29696K->9904K(58368K)] [ParOldGen: 174735K->174477K(175104K)] 204431K->184382K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0226772 secs] [Times: user=0.24 sys=0.00, real=0.02 secs] 
2020-10-27T23:16:46.418+0800: 0.469: [Full GC (Ergonomics) [PSYoungGen: 29570K->13409K(58368K)] [ParOldGen: 174477K->174757K(175104K)] 204048K->188166K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0216036 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-27T23:16:46.442+0800: 0.493: [Full GC (Ergonomics) [PSYoungGen: 29325K->15172K(58368K)] [ParOldGen: 174757K->174942K(175104K)] 204082K->190114K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0212071 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-10-27T23:16:46.466+0800: 0.517: [Full GC (Ergonomics) [PSYoungGen: 29520K->17190K(58368K)] [ParOldGen: 174942K->174350K(175104K)] 204462K->191541K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0227168 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-27T23:16:46.490+0800: 0.541: [Full GC (Ergonomics) [PSYoungGen: 29661K->18027K(58368K)] [ParOldGen: 174350K->174622K(175104K)] 204012K->192650K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0224330 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-10-27T23:16:46.515+0800: 0.566: [Full GC (Ergonomics) [PSYoungGen: 29303K->19616K(58368K)] [ParOldGen: 174622K->174823K(175104K)] 203926K->194440K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0217957 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-27T23:16:46.538+0800: 0.589: [Full GC (Ergonomics) [PSYoungGen: 29647K->20816K(58368K)] [ParOldGen: 174823K->174723K(175104K)] 204471K->195540K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0204037 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-10-27T23:16:46.558+0800: 0.610: [Full GC (Ergonomics) [PSYoungGen: 29688K->20982K(58368K)] [ParOldGen: 174723K->174718K(175104K)] 204412K->195701K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0195768 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-27T23:16:46.579+0800: 0.631: [Full GC (Ergonomics) [PSYoungGen: 29685K->22076K(58368K)] [ParOldGen: 174718K->174628K(175104K)] 204403K->196704K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0201417 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-27T23:16:46.601+0800: 0.653: [Full GC (Ergonomics) [PSYoungGen: 29456K->23423K(58368K)] [ParOldGen: 174628K->175081K(175104K)] 204084K->198505K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0258641 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-10-27T23:16:46.628+0800: 0.679: [Full GC (Ergonomics) [PSYoungGen: 29581K->24985K(58368K)] [ParOldGen: 175081K->174867K(175104K)] 204662K->199852K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0225280 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-10-27T23:16:46.651+0800: 0.703: [Full GC (Ergonomics) [PSYoungGen: 29154K->25552K(58368K)] [ParOldGen: 174867K->174857K(175104K)] 204021K->200410K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0262295 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2020-10-27T23:16:46.678+0800: 0.730: [Full GC (Ergonomics) [PSYoungGen: 29472K->26760K(58368K)] [ParOldGen: 174857K->174546K(175104K)] 204330K->201307K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0183491 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-27T23:16:46.697+0800: 0.749: [Full GC (Ergonomics) [PSYoungGen: 29600K->27756K(58368K)] [ParOldGen: 174546K->174546K(175104K)] 204146K->202302K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0021639 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T23:16:46.699+0800: 0.751: [Full GC (Ergonomics) [PSYoungGen: 29695K->27869K(58368K)] [ParOldGen: 174546K->174928K(175104K)] 204242K->202797K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0063619 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T23:16:46.706+0800: 0.758: [Full GC (Ergonomics) [PSYoungGen: 29649K->27780K(58368K)] [ParOldGen: 174928K->174785K(175104K)] 204578K->202565K(233472K), [Metaspace: 2774K->2774K(1056768K)], 0.0135896 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
